INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182044102,617,Larceny,LARCENY THEFT FROM BUILDING,D4,624,FALSE,2018-06-01T13:16:00Z,2018,6,Friday,13,Part One,BOYLSTON ST,42.34693807,-71.09266111,"(42.34693807, -71.09266111)"
I162063937,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,57,FALSE,2016-08-08T23:00:00Z,2016,8,Monday,23,Part One,LEXINGTON ST,42.3773854,-71.05933256,"(42.37738540, -71.05933256)"
I162083279,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,401,FALSE,2016-10-11T12:18:00Z,2016,10,Tuesday,12,Part Three,ASHMONT ST,42.28575222,-71.06430857,"(42.28575222, -71.06430857)"
I172017603,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,664,FALSE,2017-03-05T11:00:00Z,2017,3,Sunday,11,Part Three,WASHINGTON ST,42.29251815,-71.12165832,"(42.29251815, -71.12165832)"
I162068495,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,NA,FALSE,2016-08-23T17:56:00Z,2016,8,Tuesday,17,Part One,NA,NA,NA,"(0.00000000, 0.00000000)"
I152045300,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,280,FALSE,2015-12-11T12:50:00Z,2015,12,Friday,12,Part Two,DUDLEY ST,42.32872589,-71.08382217,"(42.32872589, -71.08382217)"
I152058012,617,Larceny,LARCENY THEFT FROM BUILDING,E5,664,FALSE,2015-07-13T16:00:00Z,2015,7,Monday,16,Part One,DELFORD ST,42.29209207,-71.12108877,"(42.29209207, -71.12108877)"
I162037614,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,685,FALSE,2016-05-14T11:58:00Z,2016,5,Saturday,11,Part Three,WASHINGTON ST,42.277462,-71.13797646,"(42.27746200, -71.13797646)"
I172052572,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,311,FALSE,2017-06-30T07:40:00Z,2017,6,Friday,7,Part One,WARREN ST,42.3169665,-71.08254058,"(42.31696650, -71.08254058)"
I162083673,3125,Warrant Arrests,WARRANT ARREST,A7,26,FALSE,2016-10-12T17:03:00Z,2016,10,Wednesday,17,Part Three,BORDER ST,42.38229155,-71.04036424,"(42.38229155, -71.04036424)"
